actor,overall_score,positionality_score,reachability_score,potentiality_score,laplacian_rank,leverage_rank,latora_rank,outdegree_rank,flexibility_rank,keyscore_rank,reputation_rank
NC03,0.9007936507936507,0.5,0.5357142857142857,1.6666666666666665,5.333333333333333,4.666666666666667,7.666666666666667,1.6666666666666667,2,4,1
NC02,0.8730958781362007,0.4838709677419355,0.46875,1.6666666666666665,4.666666666666667,5.666666666666667,9,1.6666666666666667,1,4,2
PA10,0.8472222222222223,0.625,1.5000000000000002,0.41666666666666663,2.6666666666666665,5.333333333333333,2,1.3333333333333333,8,5,4
PA08,0.75,0.5,1.25,0.5,2.6666666666666665,7.333333333333333,2.3333333333333335,1.6666666666666667,6,5,4
NC01,0.5966730954676953,0.24590163934426226,0.29411764705882354,1.25,11,9.333333333333334,13.666666666666666,3.3333333333333335,1,7,3
FL02,0.592159277504105,0.2586206896551724,0.26785714285714285,1.25,11.333333333333334,8,15.333333333333334,3.3333333333333335,1,6,3
PA07,0.5584155584155585,0.4054054054054054,0.5555555555555556,0.7142857142857142,4.666666666666667,7.666666666666667,7,2,3,6,4
PA06,0.5547260586454316,0.3191489361702127,0.7894736842105264,0.5555555555555556,5.333333333333333,10.333333333333334,3.6666666666666665,2.6666666666666665,5,7,4
PA01,0.5438808373590983,0.32608695652173914,0.7500000000000001,0.5555555555555556,5.666666666666667,9.666666666666666,4,2.6666666666666665,5,6,4
PA02,0.5404040404040403,0.3333333333333333,0.8333333333333333,0.4545454545454546,5,10,3.3333333333333335,2.6666666666666665,7,7,4
FL03,0.4952718676122931,0.3191489361702127,0.3333333333333333,0.8333333333333333,9,6.666666666666667,12.333333333333334,2.6666666666666665,3,5,3
PA05,0.4588929588929589,0.2777777777777778,0.7142857142857142,0.38461538461538464,5.333333333333333,12.666666666666666,4,3,7,8,6
PA03,0.40238095238095234,0.25,0.6,0.3571428571428571,6.666666666666667,13.333333333333334,5,3.3333333333333335,8,8,6
PA04,0.40238095238095234,0.25,0.6,0.3571428571428571,6.666666666666667,13.333333333333334,5,3.3333333333333335,8,8,6
FL01,0.353988603988604,0.25,0.2564102564102564,0.5555555555555556,10.5,9.5,16.5,3,4,7,5
