CODE,MeanSalience,SumSalience,SmithsS
IL01,1,2,0.5
OT01,0.5,1,0.25
ST02,0.8333333333333334,2.5,0.625
CF01,0.6666666666666666,0.6666666666666666,0.16666666666666666
SA01,0.6666666666666666,1.3333333333333333,0.3333333333333333
ST04,0.7,1.4,0.35
NC03,0.5,0.5,0.125
OR01,1,1,0.25
OR02,0.6666666666666666,0.6666666666666666,0.16666666666666666
SA03,0.3333333333333333,0.3333333333333333,0.08333333333333333
ST10,0.6666666666666666,0.6666666666666666,0.16666666666666666
SA02,0.8,0.8,0.2
ST05,0.6,0.6,0.15
ST06,0.2,0.2,0.05
