actor,degree,betweenness,closeness,eigen,coreness,lbc,SmithsS
PA01,3,21.33333333333333,0.4444444444444444,7.432936112264005e-16,2,0.24691358024691354,0
UF01,10,134.79999999999998,0.6666666666666666,1.7116199069502146e-15,2,0.018461538461538463,0.5303030303030304
US01,4,13.866666666666667,0.4166666666666667,9.065682731070596e-16,2,0.2,0.30303030303030304
FF02,1,0,0.3125,1.625860986545597e-16,1,3,0.045454545454545456
PA02,2,8.5,0.425531914893617,4.806104298434124e-16,2,0.8333333333333334,0
US02,2,1,0.3225806451612903,2.8849603983245174e-16,2,0.6000000000000001,0.09090909090909091
PA03,1,0,0.40816326530612246,3.908865112844124e-16,1,10,0
PA04,1,0,0.40816326530612246,4.3197365095081467e-16,1,10,0
PA05,2,2.3333333333333335,0.425531914893617,5.782982764000635e-16,2,1.4285714285714286,0
PA06,3,27.5,0.4444444444444444,5.782414295771107e-16,2,0.20833333333333331,0
FF03,1,0,0.3125,1.2187519867855656e-16,1,3,0.045454545454545456
PA07,6,61.033333333333324,0.5128205128205128,1.301132792431247e-15,2,0.045248868778280535,0
UF02,3,9.333333333333332,0.4,6.481228755193784e-16,2,0.4444444444444444,0.2121212121212121
ST08,1,0,0.3448275862068966,2.6834973612755943e-16,1,6,0.09090909090909091
OT02,1,0,0.3448275862068966,2.6019989958919643e-16,1,6,0.0606060606060606
ST09,1,0,0.3448275862068966,2.852048501182177e-16,1,6,0.0303030303030303
PA08,4,26.033333333333335,0.46511627906976744,9.686172343644474e-16,2,0.1485148514851485,0
UA02,1,0,0.3225806451612903,2.546284831331421e-16,1,4,0.0606060606060606
PA09,1,0,0.40816326530612246,4.1367840889647716e-16,1,10,0
PA10,3,22.266666666666666,0.4444444444444444,6.266814502838908e-16,2,0.23255813953488372,0
UA01,1,0,0.3125,1.5310917200289633e-16,1,3,0.0303030303030303
FL01,2,2,0.24719101123595505,0.015677414176558838,2,0.6000000000000001,0
IL01,3,65.5,0.3142857142857143,0.035578376719658224,2,0.3076923076923077,0.18181818181818182
OT01,2,8.5,0.2894736842105263,0.03353788920747251,2,0.6666666666666666,0.09090909090909091
FL02,3,41,0.25287356321839083,0.008995799685134876,1,0.14285714285714288,0
ST01,1,0,0.2037037037037037,0.0020404875121856417,1,3,0
FF01,1,0,0.2037037037037037,0.0020404875121856673,1,3,0
NC01,3,21.333333333333332,0.27848101265822783,0.2433650489525853,2,0.2,0
SA01,3,19,0.3548387096774194,0.5088550799131111,2,0.6,0.1212121212121212
ST04,3,19,0.3548387096774194,0.5088550799131115,2,0.6,0.12727272727272726
ST07,1,0,0.22,0.05520168975202902,1,3,0
FL03,4,113,0.38596491228070173,0.13217947363624477,2,0.11538461538461539,0
ST02,3,112,0.44,0.483635223323477,2,0.7058823529411764,0.22727272727272727
ST03,1,0,0.28205128205128205,0.029981833162394847,1,4,0
NC02,9,96.33333333333334,0.44,0.9999999999999994,2,0.02127659574468085,0
CF01,1,0,0.30985915492957744,0.2268266950805412,1,9,0.0606060606060606
NC03,9,96.33333333333334,0.44,1,2,0.02127659574468085,0.045454545454545456
OR01,1,0,0.30985915492957744,0.22682669508054112,1,9,0.09090909090909091
OR02,1,0,0.30985915492957744,0.22682669508054118,1,9,0.0606060606060606
SA03,1,0,0.30985915492957744,0.22682669508054126,1,9,0.0303030303030303
ST10,1,0,0.30985915492957744,0.22682669508054126,1,9,0.0606060606060606
SA02,1,0,0.30985915492957744,0.2268266950805412,1,9,0.07272727272727274
ST05,1,0,0.30985915492957744,0.22682669508054118,1,9,0.05454545454545454
ST06,1,0,0.30985915492957744,0.2268266950805412,1,9,0.018181818181818184
