actor,betweenness,scaled_betweenness,eigen,scaled_eigen,color_code,keystatus
CF01,0,0.01,0.22682669508054118,0.22682669508054112,CF,Pulse-Taker
OR01,0,0.01,0.22682669508054137,0.22682669508054132,OR,Pulse-Taker
OR02,0,0.01,0.22682669508054087,0.22682669508054082,OR,Pulse-Taker
SA02,0,0.01,0.2268266950805411,0.22682669508054104,SA,Pulse-Taker
SA03,0,0.01,0.22682669508054104,0.22682669508054099,SA,Pulse-Taker
ST03,0,0.01,0.02998183316239492,0.029981833162394847,ST,Pulse-Taker
ST05,0,0.01,0.22682669508054112,0.22682669508054107,ST,Pulse-Taker
ST06,0,0.01,0.22682669508054099,0.22682669508054093,ST,Pulse-Taker
ST07,0,0.01,0.055201689752029014,0.055201689752028944,ST,Pulse-Taker
ST10,0,0.01,0.22682669508054104,0.22682669508054099,ST,Pulse-Taker
FL01,2,0.02454005934718101,0.015677414176558845,0.01567741417655877,FL,Hub
FL02,41,0.30807121661721076,0.008995799685134911,0.008995799685134837,FL,Hub
FL03,113,0.8315133531157272,0.13217947363624477,0.13217947363624472,FL,Hub
IL01,65.5,0.48618694362017806,0.035578376719658224,0.035578376719658154,IL,Hub
NC01,21.333333333333332,0.1650939663699308,0.24336504895258534,0.2433650489525853,NC,Hub
NC02,96.33333333333334,0.7103461918892188,0.9999999999999999,0.9999999999999999,NC,Hub
NC03,96.33333333333334,0.7103461918892188,1,1,NC,Hub
OT01,8.5,0.0717952522255193,0.03353788920747254,0.03353788920747247,OT,Hub
SA01,19,0.1481305637982196,0.5088550799131109,0.5088550799131109,SA,Hub
ST02,112,0.8242433234421367,0.48363522332347697,0.48363522332347697,ST,Hub
ST04,19,0.1481305637982196,0.5088550799131111,0.5088550799131111,ST,Hub
FF01,0,0.01,0.002040487512185698,0.002040487512185623,FF,Gatekeeper
FF02,0,0.01,8.031834190025508e-17,4.7827817202909226e-18,FF,Gatekeeper
FF03,0,0.01,8.717341241772049e-17,1.1637852237756328e-17,FF,Gatekeeper
OT02,0,0.01,1.2259522462410175e-16,4.7059664444137594e-17,OT,Gatekeeper
PA01,21.33333333333333,0.16509396636993076,3.8148955844403645e-16,3.059539982640723e-16,PA,Gatekeeper
PA02,8.5,0.0717952522255193,1.7752823175614607e-16,1.0199267157618192e-16,PA,Gatekeeper
PA03,0,0.01,1.7725978197168206e-16,1.0172422179171792e-16,PA,Gatekeeper
PA04,0,0.01,2.1357938353140696e-16,1.3804382335144282e-16,PA,Gatekeeper
PA05,2.3333333333333335,0.026963402571711176,3.2367483166245953e-16,2.481392714824954e-16,PA,Gatekeeper
PA06,27.5,0.2099258160237389,2.708735877658266e-16,1.9533802758586245e-16,PA,Gatekeeper
PA07,61.033333333333324,0.4537141444114738,5.848292404581122e-16,5.092936802781481e-16,PA,Gatekeeper
PA08,26.033333333333335,0.19926310583580617,5.171762641405934e-16,4.4164070396062925e-16,PA,Gatekeeper
PA09,0,0.01,1.8851329058300598e-16,1.1297773040304186e-16,PA,Gatekeeper
PA10,22.266666666666666,0.17187932739861525,2.859755144205731e-16,2.1043995424060897e-16,PA,Gatekeeper
ST01,0,0.01,0.0020404875121857076,0.0020404875121856326,ST,Gatekeeper
ST08,0,0.01,1.1986525666951702e-16,4.432969648955287e-17,ST,Gatekeeper
ST09,0,0.01,1.4580432207890867e-16,7.026876189894452e-17,ST,Gatekeeper
UA01,0,0.01,7.553556017996416e-17,0,UA,Gatekeeper
UA02,0,0.01,1.2783121701637147e-16,5.2295656836407316e-17,UA,Gatekeeper
UF01,134.79999999999998,0.99,9.28587293052505e-16,8.53051732872541e-16,UF,Gatekeeper
UF02,9.333333333333332,0.07785361028684469,2.1541489381805652e-16,1.398793336380924e-16,UF,Gatekeeper
US01,13.866666666666667,0.11081107814045502,4.4186709204242853e-16,3.663315318624644e-16,US,Gatekeeper
US02,1,0.017270029673590506,1.2399817683998306e-16,4.8462616660018905e-17,US,Gatekeeper
