actor,degree,betweenness,closeness,eigen,coreness,lbc,SmithsS
FL01,2,2,0.24719101123595505,0.01567741417655888,2,0.6000000000000001,0
IL01,3,65.5,0.3142857142857143,0.035578376719658286,2,0.3076923076923077,0.5
OT01,2,8.5,0.2894736842105263,0.033537889207472533,2,0.6666666666666666,0.25
FL02,3,41,0.25287356321839083,0.008995799685134885,1,0.14285714285714288,0
ST01,1,0,0.2037037037037037,0.002040487512185712,1,3,0
FF01,1,0,0.2037037037037037,0.0020404875121857145,1,3,0
NC01,3,21.333333333333332,0.27848101265822783,0.2433650489525853,2,0.2,0
SA01,3,19,0.3548387096774194,0.5088550799131111,2,0.6,0.3333333333333333
ST04,3,19,0.3548387096774194,0.5088550799131112,2,0.6,0.35
ST07,1,0,0.22,0.055201689752029,1,3,0
FL03,4,113,0.38596491228070173,0.13217947363624488,2,0.11538461538461539,0
ST02,3,112,0.44,0.483635223323477,2,0.7058823529411764,0.625
ST03,1,0,0.28205128205128205,0.02998183316239491,1,4,0
NC02,9,96.33333333333334,0.44,1,2,0.02127659574468085,0
CF01,1,0,0.30985915492957744,0.22682669508054096,1,9,0.16666666666666666
NC03,9,96.33333333333334,0.44,0.9999999999999992,2,0.02127659574468085,0.125
OR01,1,0,0.30985915492957744,0.22682669508054087,1,9,0.25
OR02,1,0,0.30985915492957744,0.22682669508054087,1,9,0.16666666666666666
SA03,1,0,0.30985915492957744,0.2268266950805409,1,9,0.08333333333333333
ST10,1,0,0.30985915492957744,0.226826695080541,1,9,0.16666666666666666
SA02,1,0,0.30985915492957744,0.22682669508054107,1,9,0.2
ST05,1,0,0.30985915492957744,0.22682669508054107,1,9,0.15
ST06,1,0,0.30985915492957744,0.22682669508054115,1,9,0.05
